movie_title,original_description,true_genre,predicted_genre
Azazil: Dügüm,"A story about an Indian girl who was captured by Azzizal. Her family tries to do something about it and a man of the faith comes, he is Essa Ansari.",horror,romance
"Brother, Superhit!",A goon tries to win his wife back by making a movie on their love story.,action,romance
Virt. Igra ne po-detski,"A college student Tanya jokingly agrees to engage in virtual sex with a stranger on the Internet, without even suggesting that she opened a Pandora's box. And now her life is in the hands",romance,horror
Vampire Apocalypse,A small group of survivors must fight their way through a now vampire infested world.,action,horror
Frame Up,"In the small American town of Orton Creek, David Farmer is accidentally killed by Don Curran, son of town tyrant Will Curran, during a fraternity initiation. The frat boys frame electronic",action,horror
Ponnar Sankar,"Princess Thamarai is ordered out of the palace by her brother for marrying a Naadodi. Not taking to it well, she challenges that she would be bringing up two sons whore leonine enough for him to get his daughters married to.",action,romance
Female Prisoner 101: Sexual Hell,"An obvious pink film knock-off of the ""JOSHÛU SASORI"" series. with much more emphasis on sex.",action,romance
Yongmunui yeogeom,"Beom-wi, a first-rate student of swordsmanship, realizes that he will never be the favored pupil of Master Tae-san until he removes or discredits fellow student Seo-ok.",action,romance
Dokufu Takahashi Oden,Biopic of female Japanese murderer Takahashi Oden.,romance,action
Speed Shift: Journey Home,"Colton returns home to simplify his life, and hopefully reunite with the girl of his dreams. But trouble doesn't care, forcing Colton to do what he does best, drive. This time he gets a little help from some old and new friends.",action,romance
Blood Runs Cold,"Winona, a successful artist looking to get away from her stressful life. Her manager rents her a house in her home town where she runs in to an old boyfriend. They go back to the house, only to find out it is not as empty as they assumed.",horror,romance
Bokura no nanoka-kan sensô,"Junior-high students are restrained by their teachers and parents... One day, they plan a rebellion.",action,romance
Diminuendo,A film director whose life crumbles after the suicide of his Hollywood starlet girlfriend becomes obsessed with a lifelike robot that appears to be her exact duplicate.,romance,horror
Demon Slayer: Kimetsu no Yaiba - Sibling's Bond,"Tanjiro finds his family slaughtered and the lone survivor, his sister Nezuko Kamado, turned into a Demon. To his surprise, however, Nezuko still shows signs of human emotion and thought.",action,horror
Zombie Rome,Spartacus who is about to die in The Coliseum prays to his Gods to curse Julius Caesar and the Roman Empire and unleashes the world's first Zombies. Caesar and his Roman Army must fight to stop the spread of the Zombies and save Rome.,horror,action
4 Kings,"Inspired by the real story of the conflict between the student from four different technician colleges in the 90s, where violence can be used to build friendships and enemies at the same time.",action,romance
Number One Shakib Khan,"The film focuses on a young man who struggles to stand on his own feet. Thrilled by his ideology and honesty, the heroine Apu Biswas makes up her mind to stand beside him with her love to",action,romance
Kumbarees,"Sagar reveals that it revolves around six to seven characters.""Ashwin plays a mechanic named Shambu and Tito his friend John. There is a love track involving Shambu and a girl named Jincy.",action,romance
The Synchronicity,Are visions rooted in reality?,romance,horror
Mermaid's Song,"A young girl with a special gift comes of age during one of the most desolate periods in American history in this dark Dust Bowl fantasy inspired by Hans Christian Andersen's ""The Little Mermaid.""",horror,romance
Cobraman Movie,"The is a story about a disabled teenage boy, Russell Wilson, who is bitten by a cobra snake during a field trip. His life begins to drastically change when he transforms into a cobra snake",action,horror
Cicak-Man,"Hairi works at Klon Technologies searching new vaccines for new diseases. He's too shy to approach Tania, the girl he loves (Professor Klon's secretary) and awkward enough to swallow a """,action,romance
Héros/Psycho,"The story of a policeman who decides to become a murderer aiming that the media would be interested in his story, rather than in the story of the man who broke his family.",action,romance
Fourplay,A feature anthology of short tales of sexual intimacy set in four American cities.,romance,horror
Hudugaru,The story revolves around three friends who are desperately looking out for suitable job opportunities. Their lives get devastated when they try to unite two lovers.,action,romance
Gila Bola,"Damak, a village guy moved to the city after some of his football teammates blamed him. Because Damak failed to take a very important penalty kick to determine their team's winning. At the",romance,action
My Brother's Rage,A father waits in the emergency room; a clock ticks in the background; the sounds of the television are left unheard; sweat courses down Pedro Ramos face as he anticipates the birth of his,action,romance
Maniac Cop,"Is there a monster on the loose on the streets of Los Angeles, or is it just a killer cop out to punish the city that destroyed him?",horror,action
Spring Breakdown,Three women vacation together at a popular travel destination for college co-eds on spring break.,romance,horror
