movie_id,movie_name,description,true_genre,predicted_genre,prob_action,prob_horror,prob_romance
tt4558370,Azazil: Dügüm,a story about an indian girl who was captured by azzizal her family tries to do something about it and a man of the faith comes he is essa ansari,horror,romance,0.17945904,0.15324068,0.66730016
tt6385190,Noir,welcome to the dark underworld of hollywood's golden age where monsters really do exist,horror,action,0.66727716,0.30371112,0.029011698
tt0064243,The Sweet Body of Deborah,a newlywed couple visits the husband's hometown in geneva where they are subjected to threats stemming from the death of his former fiancée,horror,action,0.4785578,0.27410838,0.24733381
tt15144912,Vampire Apocalypse,a small group of survivors must fight their way through a now vampire infested world,action,horror,0.07818185,0.91716874,0.004649373
tt0101909,Frame Up,in the small american town of orton creek david farmer is accidentally killed by don curran son of town tyrant will curran during a fraternity initiation the frat boys frame electronic,action,horror,0.38921943,0.5663292,0.04445141
tt1931513,Ponnar Sankar,princess thamarai is ordered out of the palace by her brother for marrying a naadodi not taking to it well she challenges that she would be bringing up two sons whore leonine enough for him to get his daughters married to,action,romance,0.32772675,0.04671194,0.62556124
tt3377092,Female Prisoner 101: Sexual Hell,an obvious pink film knock-off of the joshûu sasori series with much more emphasis on sex,action,romance,0.083297536,0.21808413,0.69861835
tt2325931,Rampador Alindog,the true life story of rampador alindog a sadistic torture and murder the recipe for revenge another underworld character from cavite is the subject of this bioflick,action,horror,0.3203108,0.6569578,0.022731384
tt0399919,Yongmunui yeogeom,beom-wi a first-rate student of swordsmanship realizes that he will never be the favored pupil of master tae-san until he removes or discredits fellow student seo-ok,action,horror,0.3242036,0.59666747,0.079128936
tt0204069,I zavoliara,a fisherman's daughter is secretly in love with a strong man who works for her father; however after a nearly-fatal accident the crew will have to venture into the isle's notoriously dangerous waters will they return in one piece?,romance,horror,0.12711643,0.6706559,0.20222768
tt0359174,Dokufu Takahashi Oden,biopic of female japanese murderer takahashi oden,romance,action,0.54003364,0.43921715,0.020749222
tt15250248,Speed Shift: Journey Home,colton returns home to simplify his life and hopefully reunite with the girl of his dreams but trouble doesn't care forcing colton to do what he does best drive this time he gets a little help from some old and new friends,action,romance,0.2669103,0.2515804,0.48150927
tt0101494,Bokura no nanoka-kan sensô,junior-high students are restrained by their teachers and parents one day they plan a rebellion,action,horror,0.2833779,0.45162478,0.2649973
tt14888860,Demon Slayer: Kimetsu no Yaiba - Sibling's Bond,tanjiro finds his family slaughtered and the lone survivor his sister nezuko kamado turned into a demon to his surprise however nezuko still shows signs of human emotion and thought,action,horror,0.08479679,0.8811813,0.034021877
tt16578440,4 Kings,inspired by the real story of the conflict between the student from four different technician colleges in the 90s where violence can be used to build friendships and enemies at the same time,action,romance,0.09968356,0.054099593,0.84621686
tt1930423,Number One Shakib Khan,the film focuses on a young man who struggles to stand on his own feet thrilled by his ideology and honesty the heroine apu biswas makes up her mind to stand beside him with her love to,action,romance,0.121114776,0.0429913,0.83589387
tt10801000,Kumbarees,sagar reveals that it revolves around six to seven charactersashwin plays a mechanic named shambu and tito his friend john there is a love track involving shambu and a girl named jincy,action,romance,0.29478914,0.06266039,0.64255047
tt4938982,The Synchronicity,are visions rooted in reality?,romance,horror,0.1121188,0.8344184,0.053462762
